uf,nome,municipio
AC,Campinas,Plácido de Castro
AC,Vila do Caquetá,Porto Acre
AC,Vila do Incra,Porto Acre
AC,Vila do V,Porto Acre
AL,Anel,Viçosa
AL,Barra Grande,Maragogi
AL,Caldeirões de Cima,Palmeira dos Índios
AL,Canafístula,Palmeira dos Índios
AL,Entremontes,Piranhas
AL,Limoeiro,Pão de Açúcar
AL,Munguba,Santana do Mundaú
AL,Pontal do Peba,Piaçabuçu
AL,Poxim,Coruripe
AL,Riacho do Sertão,Major Isidoro
AL,Rocha Cavalcante,União dos Palmares
AL,Santa Efigênia,Capela
AL,Sapucaia,Atalaia
AL,Tatuamunha,Porto de Pedras
AM,Alterosa,Santo Antônio do Içá
AM,Amatari,Itacoatiara
AM,Ariaú,Barreirinha
AM,Ariaú,Iranduba
AM,Augusto Montenegro,Urucurituba
AM,Axinin,Borba
AM,Açuanópolis,Canutama
AM,Badajós,Codajás
AM,Balbina,Presidente Figueiredo
AM,Belo Monte,Canutama
AM,Caburi,Parintins
AM,Cacau Pirêra,Iranduba
AM,Cametá,Barreirinha
AM,Canumã,Borba
AM,Cucui,São Gabriel da Cachoeira
AM,Do Rio Urubu,Boa Vista do Ramos
AM,Floriano Peixoto,Boca do Acre
AM,Freguesia do Andirá,Barreirinha
AM,Itapeaçú,Urucurituba
AM,Içana,São Gabriel da Cachoeira
AM,Janauacá,Careiro
AM,Lago Preto,Boa Vista do Ramos
AM,Lago do Limão,Iranduba
AM,Massauari,Boa Vista do Ramos
AM,Mocambo,Parintins
AM,Murutinga,Autazes
AM,Osório da Fonseca,Maués
AM,Paricatuba,Iranduba
AM,Pedras,Barreirinha
AM,Purupuru,Careiro
AM,Realidade,Humaitá
AM,Repartimento,Maués
AM,Santa Rita,São Paulo de Olivença
AM,Santana,São Sebastião do Uatumã
AM,Santo Antônio do Matupi,Manicoré
AM,Sucunduri,Apuí
AM,São Felipe,São Gabriel da Cachoeira
AM,Tracajá,Parintins
AM,Uaicurapá,Parintins
AM,Vila Amazônia,Parintins
