departamento,nome
Alto Paraguay,Bahía Negra
Alto Paraguay,Carmelo Peralta
Alto Paraguay,Fuerte Olimpo
Alto Paraguay,Puerto Casado
Alto Paraná,Ciudad Del Este
Alto Paraná,Domingo Martínez De Irala
Alto Paraná,Dr. Juan León Mallorquín
Alto Paraná,Dr. Raúl Peña
Alto Paraná,Hernandarias
Alto Paraná,Iruña
Alto Paraná,Itakyry
Alto Paraná,Juan E. O'leary
Alto Paraná,Los Cedrales
Alto Paraná,Mbaracayú
Alto Paraná,Minga Guazú
Alto Paraná,Minga Porá
Alto Paraná,Naranjal
Alto Paraná,Presidente Franco
Alto Paraná,San Alberto
Alto Paraná,San Cristóbal
Alto Paraná,Santa Fe Del Paraná
Alto Paraná,Santa Rita
Alto Paraná,Santa Rosa Del Monday
Alto Paraná,Tavapy
Alto Paraná,Yguazú
Alto Paraná,Ñacunday
Amambay,Bella Vista
Amambay,Capitán Bado
Amambay,Karapaí
Amambay,Pedro Juan Caballero
Amambay,Zanja Pytã
Asunción,Asunción
Boquerón,Filadelfia
Boquerón,Loma Plata
Boquerón,Mariscal José Félix Estigarribia
Caaguazú,3 De Febrero
Caaguazú,Caaguazú
Caaguazú,Carayaó
Caaguazú,Coronel Oviedo
Caaguazú,Dr. Cecilio Báez
Caaguazú,Dr. J. Eulogio Estigarribia
Caaguazú,Dr. Juan Manuel Frutos
Caaguazú,José Domingo Ocampos
Caaguazú,La Pastora
Caaguazú,Mariscal Francisco Solano López
Caaguazú,Nueva Londres
Caaguazú,Nueva Toledo
Caaguazú,R.i. 3 Corrales
Caaguazú,Raúl Arsenio Oviedo
Caaguazú,Repatriación
Caaguazú,San Joaquín
Caaguazú,San José De Los Arroyos
Caaguazú,Santa Rosa Del Mbutuy
Caaguazú,Simón Bolivar
Caaguazú,Tembiaporá
Caaguazú,Vaquería
Caaguazú,Yhú
Caazapá,3 De Mayo
Caazapá,Abaí
Caazapá,Buena Vista
Caazapá,Caazapá
Caazapá,Dr. Moisés S. Bertoni
Caazapá,Gral. Higinio Morinigo
Caazapá,Maciel
Caazapá,San Juan Nepomuceno
Caazapá,Tavaí
Caazapá,Yegros
Caazapá,Yuty
Canindeyú,Corpus Christi
Canindeyú,Francisco Caballero Alvarez
Canindeyú,Itanará
Canindeyú,Katueté
